id,label,sex,type,type_detail,age,birth,education,education_background,background,party,state,function,health_sector,health_category,
gemeinsamerausschuss,Gemeinsamer Ausschuss ,99,2,4,99,99,99,99,99,99,99,99,2,99,
gesamthochschuleduisburg,Gesamthochschule Duisburg,99,2,3,99,99,99,99,99,99,99,99,2,99,
gesellschaftzurbekaempfungderkrebskrankheitennrw,Gesellschaft zur Bekaempfung der Krebskrankheiten NRW e.V.,99,2,3,99,99,99,99,99,99,99,99,1,4,
gesundheitsausschuss,Ausschuss fuer Gesundheit,99,2,4,99,99,99,99,99,99,99,99,1,5,
groehe,Hermann Groehe,2,1,99,4,3,8,5,2,1,10,1,99,99,
grpg,Gesellschaft fuer Recht und Politik im Gesundheitswesen e.V.,99,2,3,99,99,99,99,99,99,99,99,1,5,
hainancihangcharityfoundation,Hainan Cihang Charity Foundation,99,2,5,99,99,99,99,99,99,99,99,1,4,
haushaltsausschuss,Haushaltsausschuss,99,2,4,99,99,99,99,99,99,99,99,2,99,
heinzkuehnstiftung,Heinz-Kuehn-Stiftung,99,2,5,99,99,99,99,99,99,99,99,2,99,
hertztransmission,50Hertz Transmission GmbH ,99,2,2,99,99,99,99,99,99,99,99,2,99,
herzzentrumbadkrozingen,Herzzentrum Bad Krozingen,99,2,2,99,99,99,99,99,99,99,99,1,3,
hochschulefueroeffentlicheverwaltungkehl,Hochschule fuer oeffentliche Verwaltung Kehl,99,2,2,99,99,99,99,99,99,99,99,2,99,
hospitzvereinbruehl,Hospizverein Bruehl e.V.,99,2,3,99,99,99,99,99,99,99,99,1,4,
ifw,Institut fuer Weltanschauungsrecht,99,2,3,99,99,99,99,99,99,99,99,2,99,
igmetall,IG Metall,99,2,3,99,99,99,99,99,99,99,99,2,99,
ilka,Thomas Ilka,2,1,99,4,4,7,1,2,5,10,2,99,99,
innenausschuss,Innenausschuss,99,2,4,99,99,99,99,99,99,99,99,2,99,
institutfuersaundsp,Institut fuer Sozialarbeit und Sozialpaedagogik e.V. ,99,2,3,99,99,99,99,99,99,99,99,2,99,
internationalnrwgraduateschool,International NRW Graduate School of Chemistry,99,2,3,99,99,99,99,99,99,99,99,2,99,
