id,label,sex,type,type_detail,period,age,birth,education,education_background,background,party,state,function,health_sector,health_category
kneippbund,Kneipp-Bund e.V.,99,2,3,99,99,99,99,99,99,99,99,99,1,4
robertboschstiftung,Robert-Bosch-Stiftung,99,2,3,99,99,99,99,99,99,99,99,99,1,4
herzzentrumbadkrozingen,Herzzentrum Bad Krozingen,99,2,2,99,99,99,99,99,99,99,99,99,1,3
,,,,,,,,,,,,,,,
dykmans,Mechthild Dyckmans,1,1,99,2,,,,,,,,,,
bahr,Daniel Bahr,2,1,99,2,,,,,,,,,,
widmannmauz,Annette Widmann-Mauz,1,1,99,2,,,,,,,,,,
kapferer,Stefan Kapferer,2,1,99,2,4,4,7,1,2,5,9,2,99,99
roesler,Philipp Rösler,2,1,99,2,3,5,9,3,1,5,9,1,99,99
zoeller,Wolfgang Zöller,2,1,99,2,6,2,6,5,2,1,2,4,99,99
flach,Ulrike Flach,1,1,99,2,5,3,7,5,2,5,10,2,99,99
ilka,Thomas Ilka,2,1,99,2,4,4,7,1,2,5,10,2,99,99
hertztransmission,50Hertz Transmission GmbH ,99,2,2,99,99,99,99,99,99,99,99,99,2,99
oecd,Organisation für wirtschaftliche Zusammenarbeit und Entwicklung,99,2,3,99,99,99,99,99,99,99,99,99,2,99
bdew,Bundesverband der Energie- und Wasserwirtschaft e.V.,99,2,3,99,99,99,99,99,99,99,99,99,2,99
dena,Deutsche Energie-Agentur GmbH,99,2,2,99,99,99,99,99,99,99,99,99,2,99
treuhandanstalt,Treuhandanstalt,99,2,4,99,99,99,99,99,99,99,99,99,2,99
weltwirtschaftsforum,Weltwirtschaftsforum,99,2,5,99,99,99,99,99,99,99,99,99,2,99
hainancihangcharityfoundation,Hainan Cihang Charity Foundation,99,2,5,99,99,99,99,99,99,99,99,99,1,4
kfw,KfW Bankengruppe,99,2,2,99,99,99,99,99,99,99,99,99,2,99
robertenkestiftung,Robert-Enke-Stiftung,99,2,5,99,99,99,99,99,99,99,99,99,1,4
zentralkomiteederdeutschenkatholiken,Zentralkomitee der deutschen Katholiken,99,2,3,99,99,99,99,99,99,99,99,99,2,99
zdffernsehrat,ZDF-Fernsehrat,99,2,2,99,99,99,99,99,99,99,99,99,2,99
bertelsmannstiftung,Bertelsmann Stiftung,99,2,5,99,99,99,99,99,99,99,99,99,1,4
jacobsuniversitybremen,Jacobs University Bremen,99,2,3,99,99,99,99,99,99,99,99,99,2,99
siemenshealthineers,Siemens Healthineers,99,2,2,99,99,99,99,99,99,99,99,99,1,2
brainloop,Brainloop,99,2,2,99,99,99,99,99,99,99,99,99,2,99
fortum,Fortum,99,2,2,99,99,99,99,99,99,99,99,99,2,99
bundessicherheitsrat,Bundessicherheitsrat,99,2,4,99,99,99,99,99,99,99,99,99,2,99
enmacc,Enmacc GmbH,99,2,2,99,99,99,99,99,99,99,99,99,2,99
mhh,Medizinische Hochschule Hannover,99,2,3,99,99,99,99,99,99,99,99,99,1,4
luh,Gottfried Wilhelm Leibniz Universität Hannover,99,2,3,99,99,99,99,99,99,99,99,99,2,99
bundeswehrkrankenhaushamburg,Bundeswehrkrankenhaus Hamburg,99,2,4,99,99,99,99,99,99,99,99,99,1,3
sanitaetsversorgungszentrumhannover,Sanitätsversorgungszentrum Hannover,99,2,4,99,99,99,99,99,99,99,99,99,1,5
bundeswehr,Bundeswehr,99,2,4,99,99,99,99,99,99,99,99,99,2,99
niedersaechsischestaatskanzlei,Niedersächsische Staatskanzlei,99,2,4,99,99,99,99,99,99,99,99,99,2,99
nbank,N-Bank,99,2,2,99,99,99,99,99,99,99,99,99,2,99
jadeweserport,Jade-Weserport-Realisierungsgesellschaft,99,2,2,99,99,99,99,99,99,99,99,99,2,99
gdv,Gesamtverband der Deutschen Versicherungswirtschaft,99,2,2,99,99,99,99,99,99,99,99,99,2,99
dihk,Deutsche Industrie- und Handelskammertag,99,2,3,99,99,99,99,99,99,99,99,99,2,99
europaeischebewegungdeutschland,Europäische Bewegung Deutschland e.V.,99,2,3,99,99,99,99,99,99,99,99,99,2,99
friedrichnaumannstiftung,Friedrich-Naumann-Stiftung für die Freiheit,99,2,5,99,99,99,99,99,99,99,99,99,2,99
compugroup,CompuGroup Medical AG,99,2,2,99,99,99,99,99,99,99,99,99,1,5
siemenspowerengineering,Siemens AG Power Engineering,99,2,2,99,99,99,99,99,99,99,99,99,2,99
maxplanckinstitut,Max-Planck-Institut für Chemische Energiekonversion,99,2,3,99,99,99,99,99,99,99,99,99,2,99
heinzkuehnstiftung,Heinz-Kühn-Stiftung,99,2,5,99,99,99,99,99,99,99,99,99,2,99
internationalnrwgraduateschool,International NRW Graduate School of Chemistry,99,2,3,99,99,99,99,99,99,99,99,99,2,99
wiesenkirchesoest,Wiesenkirche Soest,99,2,3,99,99,99,99,99,99,99,99,99,2,99
aupu,AUPU Versorgungswerk e.V.,99,2,3,99,99,99,99,99,99,99,99,99,2,99
dcta,Deutsch-Chinesischer Technologieaustausch (DCTA) Stiftung,99,2,5,99,99,99,99,99,99,99,99,99,2,99
duk,DUK Versorgungswerk e.V.,99,2,3,99,99,99,99,99,99,99,99,99,2,99
gesellschaftzurbekaempfungderkrebskrankheitennrw,Gesellschaft zur Bekämpfung der Krebskrankheiten NRW e.V.,99,2,3,99,99,99,99,99,99,99,99,99,1,4
theateranderruhr,Theater an der Ruhr gemeinnützige GmbH,99,2,2,99,99,99,99,99,99,99,99,99,2,99
akzo,Firma AKZO,99,2,2,99,99,99,99,99,99,99,99,99,2,99
alfa,Aktion Lebensrecht für Alle (AlfA),99,2,3,99,99,99,99,99,99,99,99,99,1,5
tvgrosswallstadt,TV-Großwallstadt Handball AG,99,2,3,99,99,99,99,99,99,99,99,99,2,99
edelweissmusikverein,Musikverein Edelweiß Sulzbach,99,2,3,99,99,99,99,99,99,99,99,99,2,99
deutscherapothekenverband,Deutscher Apothekenverband DAV e.V.,99,2,3,99,99,99,99,99,99,99,99,99,1,4
tsvolympia,TSV Olympia Eisenbach e.V. ,99,2,3,99,99,99,99,99,99,99,99,99,2,99
bundzurfoerderungdesgesundheitsmanagements,Bund zur Förderung des Gesundheitsmanagements BGM e.V.,99,2,3,99,99,99,99,99,99,99,99,99,1,5
fdp,Freie Demokratische Partei,99,2,4,99,99,99,99,99,99,99,99,99,2,99
christeninderfdpbundestagsfraktion,Christen in der FDP-Bundestagsfraktion,99,2,3,99,99,99,99,99,99,99,99,99,2,99
centerforamericanprogress,Center For American Progress (CAP),99,2,2,99,99,99,99,99,99,99,99,99,2,99
universityofmichigan,University of Michigan,99,2,2,99,99,99,99,99,99,99,99,99,2,99
apkv,Allianz Private Krankenversicherung,99,2,2,99,99,99,99,99,99,99,99,99,1,5
ergo,ERGO Versicherungsgruppe AG,99,2,2,99,99,99,99,99,99,99,99,99,1,5
jugendgegenaids,Jugend gegen AIDS e.V.,99,2,3,99,99,99,99,99,99,99,99,99,1,4
aktionsbuendnisschmerzfreiestadtmuenster,"Aktionbündnis ""Schmerzfreie Stadt Münster""",99,2,3,99,99,99,99,99,99,99,99,99,1,4
pureholding,Pure Holding,99,2,3,99,99,99,99,99,99,99,99,99,1,1
,,,,,,,,,,,,,,,
fischbach,Ingrid Fischbach,1,1,99,3,5,4,8,4,2,1,10,2,99,99
mortler,Marlene Mortler,1,1,99,3,5,4,5,1,2,1,2,3,99,99
groehe,Hermann Groehe,2,1,99,3,4,3,8,5,2,1,10,1,99,99
widmannmauz,Annette Widmann-Mauz,1,1,99,3,4,4,4,2,1,1,1,2,99,99
laumann,Karl-Josef Laumann,2,1,99,3,5,3,5,5,2,1,10,2,99,99
landfrauen,Landfrauen,99,2,3,99,99,99,99,99,99,99,99,99,2,99
bayrischerbauernverband,Bayrischer Bauernverband,99,2,3,99,99,99,99,99,99,99,99,99,2,99
bayrischeversicherungskammer,Bayrische Versicherungskammer,99,2,3,99,99,99,99,99,99,99,99,99,2,99
bayrischelandeszentrale,Bayrische Landeszentrale fuer neue Medien,99,2,3,99,99,99,99,99,99,99,99,99,2,99
ausschussernaehrunglandwirtschaft,Ausschuss fuer Ernaehrung und Landwirtschaft,99,2,4,99,99,99,99,99,99,99,99,99,2,99
qsqualitaet,QS Qualitaet und Sicherheit GmbH,99,2,3,99,99,99,99,99,99,99,99,99,2,99
absatzfoerderungsfond,Absatzfoerderungsfonds der deutschen Land- und Ernaehrungswirtschaft,99,2,4,99,99,99,99,99,99,99,99,99,2,99
ausschusstourismus,Ausschuss fuer Tourismus,99,2,4,99,99,99,99,99,99,99,99,99,2,99
ecclesiaholding,Ecclesia Holding GmbH,99,2,2,99,99,99,99,99,99,99,99,99,2,99
konradadenauerstiftung,Konrad-Adenauer-Stiftung e.V.,99,2,5,99,99,99,99,99,99,99,99,99,2,99
ekd,Evangelische Kirche in Deutschland (EKD),99,2,3,99,99,99,99,99,99,99,99,99,2,99
ausschussarbeitsoziales,Ausschuss fuer Arbeit und Soziales,99,2,4,99,99,99,99,99,99,99,99,99,2,99
ausschussentwicklung,Ausschuss fuer wirtschaftliche Zusammenarbeit und Entwicklung,99,2,4,99,99,99,99,99,99,99,99,99,2,99
vermittlungsausschuss,Vermittlungsausschuss,99,2,4,99,99,99,99,99,99,99,99,99,2,99
fu,Frauen-Union der CDU Deutschlands,99,2,4,99,99,99,99,99,99,99,99,99,2,99
bnev,Bundesverband Niere e.V.,99,2,3,99,99,99,99,99,99,99,99,99,1,4
grpg,Gesellschaft fuer Recht und Politik im Gesundheitswesen e.V.,99,2,3,99,99,99,99,99,99,99,99,99,1,5
dhps,Deutsche Hospiz- und Palliativ-Stiftung,99,2,5,99,99,99,99,99,99,99,99,99,1,5
stiftungfriedrichebert,Stiftung Reichspraesident-Friedrich-Ebert-Gedenkstaette,99,2,5,99,99,99,99,99,99,99,99,99,2,99
kinderbrauchenfrieden,Kinder brauchen Frieden e.V.,99,2,3,99,99,99,99,99,99,99,99,99,2,99
archenoah,Arche Noah - Foerderverein Betreutes Wohnen dauerbeatmeter Kinder e.V.,99,2,3,99,99,99,99,99,99,99,99,99,1,5
zervita,ZERVITA e.V.,99,2,3,99,99,99,99,99,99,99,99,99,1,5
irmawest,Irma-West-Gemeinschaft e.V.,99,2,3,99,99,99,99,99,99,99,99,99,2,99
